objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,pghdbsdeNeighborhood_2010area,perimeter,neighbor_,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,created_user,created_date,last_edited_user,last_edited_date
77,300,42,003,481000,2,420034810002,Block Group 2,G5030,S,211451,0,+40.4120501,-079.9841274,8438.629746,83,9462218,13592.865,84,2166,Mount Oliver Borough,0,218.225,0.339,0,0,0,13592.865056,9462217.80437,,,,,,
75,286,42,003,130400,3,420031304003,Block Group 3,G5030,S,115917,0,+40.4496890,-079.8859784,6090.014007,44,11104194,16565.754,45,2127,Homewood South,42,256.093,0.398,2,24,11,16565.7535,11104193.7803,,Michael Smith,,,,
79,313,42,003,562800,2,420035628002,Block Group 2,G5030,S,653726,0,+40.4269246,-080.0658036,15834.276992,70,7024962,15925.736,71,2153,Oakwood,59,162.015,0.252,5,113,4,15925.736112,7024961.87774,,Susan Tymoczko,,,,
78,308,42,003,120700,2,420031207002,Block Group 2,G5030,S,200053,0,+40.4569713,-079.9050701,6871.688075,35,5542252.5,10087.878,36,2118,Homewood West,43,127.819,0.199,2,81,11,10087.877313,5542252.62221,,Michael Smith,,,,
82,326,42,003,310300,1,420033103001,Block Group 1,G5030,S,2048522,0,+40.3879201,-079.9225537,22945.937288,92,22145166,22933.324,93,2175,New Homestead,55,510.728,0.794,4,94,8,22933.32392,22145165.324,,Nenha Young,,,,
84,348,42,003,050100,3,420030501003,Block Group 3,G5030,S,308316,0,+40.4459724,-079.9776953,7994.231364,52,8503223,14505.091,53,2135,Middle Hill,51,196.108,0.305,3,25,15,14505.091583,8503222.96244,,Justin Miller,,,SDE,2016-03-08T13:53:49.000Z
86,340,42,003,563000,1,420035630001,Block Group 1,G5030,S,2520263,0,+40.4507815,-080.0847808,26392.725649,36,27002274,26410.738,37,2119,Fairywood,32,622.746,0.969,5,21,4,26410.738324,27002274.2666,,Susan Tymoczko,,,,
88,298,42,003,563100,3,420035631003,Block Group 3,G5030,S,928505,0,+40.4270691,-080.0344802,16308.779748,69,10278895,16268.131,70,2152,Ridgemont,67,237.059,0.369,5,24,4,16268.13089,10278895.2296,,Susan Tymoczko,,,,
33,73,42,003,080200,2,420030802002,Block Group 2,G5030,S,92307,0,+40.4617308,-079.9522528,4036.163833,26,19572930,21206.189,27,2109,Bloomfield,10,451.405,0.702,2,94,12,21206.189685,19572929.544,,Michael Smith,,,SDE,2016-05-31T18:04:19.000Z
7,7,42,003,262000,1,420032620001,Block Group 1,G5030,S,607576,0,+40.4632158,-079.9941680,12055.426146,15,17550592,18197.82,16,2098,Spring Hill-City View,75,404.765,0.63,1,23,1,18197.81989,17550591.7727,,Stephanie Joy Everett,,,,
8,8,42,003,261500,1,420032615001,Block Group 1,G5030,S,350522,0,+40.4733966,-080.0097343,8208.50481,13,25220622,26399.697,14,2096,Perry South,62,581.656,0.905,1,21,2,26399.698533,25220621.1697,,Stephanie Joy Everett,,,,
9,10,42,003,261200,1,420032612001,Block Group 1,G5030,S,1057787,0,+40.4922173,-080.0081121,20906.829503,1,12232021,20910.936,2,2084,Summer Hill,81,282.104,0.439,1,57,1,20910.934412,12232020.2959,,Stephanie Joy Everett,,,,
10,11,42,003,260900,1,420032609001,Block Group 1,G5030,S,812036,0,+40.4776383,-080.0025945,13757.332026,9,8739570,13813.638,10,2092,Northview Heights,58,201.558,0.313,1,113,1,13813.637535,8739570.2277,,Stephanie Joy Everett,,,,
28,59,42,003,241200,2,420032412002,Block Group 2,G5030,S,172183,0,+40.4600565,-079.9915198,7283.454921,14,7653279.5,21452.691,15,2097,Spring Garden,74,176.506,0.275,1,18,1,21452.691885,7653278.96663,,Stephanie Joy Everett,,,,
11,12,42,003,260700,2,420032607002,Block Group 2,G5030,S,301991,0,+40.4818975,-080.0108700,11322.837265,2,33781248,30858.816,3,2085,Perry North,61,779.088,1.212,1,18,2,30858.817773,33781247.3924,,Stephanie Joy Everett,,,,
19,31,42,003,250900,2,420032509002,Block Group 2,G5030,S,384629,0,+40.4641570,-080.0039415,13652.214712,23,6958774,12677.556,24,2106,Fineview,33,160.488,0.25,1,81,3,12677.555901,6958774.07065,,Stephanie Joy Everett,,,,
27,58,42,003,250300,1,420032503001,Block Group 1,G5030,S,243738,0,+40.4584905,-080.0120067,7703.44619,37,7218352,14371.736,38,2120,Central Northside,19,166.475,0.259,1,6,3,14371.736393,7218351.66088,,Stephanie Joy Everett,,,,
56,152,42,003,562700,1,420035627001,Block Group 1,G5030,S,374415,0,+40.4507843,-080.0144032,8746.405189,48,3938870.2,8658.042,49,2131,Allegheny West,2,90.841,0.141,1,21,3,8658.042051,3938870.37673,,Stephanie Joy Everett,,,,
29,61,42,003,240600,2,420032406002,Block Group 2,G5030,S,495750,0,+40.4611811,-079.9859947,14534.378599,20,10717292,20630.793,21,2103,Troy Hill,84,247.17,0.384,1,94,1,20630.79316,10717291.8959,,Stephanie Joy Everett,,,,
30,64,42,003,563200,3,420035632003,Block Group 3,G5030,S,315029,0,+40.4572599,-079.9976543,11102.628685,38,6577919.5,14425.909,39,2121,East Allegheny,26,151.705,0.236,1,57,3,14425.910623,6577919.63035,,Stephanie Joy Everett,,,,
40,89,42,003,210700,2,420032107002,Block Group 2,G5030,S,359658,0,+40.4578695,-080.0264589,9100.227534,33,7785965.5,12528.441,34,2116,Manchester,49,179.566,0.279,1,23,3,12528.441993,7785965.49733,,Stephanie Joy Everett,,,,
61,181,42,003,270800,3,420032708003,Block Group 3,G5030,S,633737,0,+40.4865869,-080.0297229,13818.097632,3,31143860,26060.684,4,2086,Brighton Heights,13,718.262,1.117,1,23,2,26060.684132,31143860.7521,,Stephanie Joy Everett,,,,
72,240,42,003,980900,1,420039809001,Block Group 1,G5030,S,1453388,854869,+40.4659231,-080.0458881,13293.01044,18,6426350.5,13293.011,19,2101,Marshall-Shadeland,50,148.209,0.231,1,0,2,13293.01044,6426350.59395,,Stephanie Joy Everett,,,,
90,57,42,003,250700,1,420032507001,Block Group 1,G5030,S,560320,0,+40.4599421,-080.0218657,11709.518814,28,6050988,11711.301,29,2111,California-Kirkbride,15,139.552,0.217,1,25,3,11711.301248,6050987.83948,,Stephanie Joy Everett,,,,
24,45,42,003,180700,2,420031807002,Block Group 2,G5030,S,128061,0,+40.4247086,-080.0011285,5547.088804,64,31760998,33988.883,65,2147,Mount Washington,54,732.495,1.139,5,25,6,33988.882269,31760998.0351,,Susan Tymoczko,,,,
36,77,42,003,191100,2,420031911002,Block Group 2,G5030,S,884630,0,+40.4386014,-080.0260996,13787.425038,60,17364276,19320.406,61,2143,Duquesne Heights,25,400.468,0.623,5,57,6,19320.407046,17364275.0587,,Susan Tymoczko,,,,
57,153,42,003,562600,2,420035626002,Block Group 2,G5030,S,579141,0,+40.4400199,-080.0409711,11480.140003,49,16904768,21609.799,50,2132,Elliott,30,389.87,0.606,5,25,4,21609.799343,16904767.616,,Susan Tymoczko,,,,
81,325,42,003,562800,1,420035628001,Block Group 1,G5030,S,1122222,0,+40.4202222,-080.0745718,18432.54281,77,12049543,18475.564,78,2160,East Carnegie,27,277.895,0.432,5,94,4,18475.563056,12049542.7323,,Susan Tymoczko,,,,
54,149,42,003,202200,3,420032022003,Block Group 3,G5030,S,174657,0,+40.4580322,-080.0647449,7204.28883,31,24807354,24066.42,32,2114,Sheraden,69,572.125,0.89,5,19,4,24066.420427,24807353.4024,,Susan Tymoczko,,,,
16,19,42,003,180300,3,420031803003,Block Group 3,G5030,S,140530,0,+40.4191918,-079.9927314,6293.791906,75,8221419.5,16208.565,76,2158,Allentown,3,189.608,0.295,4,23,6,16208.5648,8221419.7352,,Ashley Holloway,,,,
85,358,42,003,562500,1,420035625001,Block Group 1,G5030,S,602805,225010,+40.4627464,-080.0508428,25245.489998,24,6409852.5,25268.232,25,2107,Esplen,31,147.829,0.23,5,81,4,25268.23256,6409852.2469,,Susan Tymoczko,,,,
87,265,42,003,563000,4,420035630004,Block Group 4,G5030,S,342793,0,+40.4578183,-080.0705756,9978.225923,29,3683600.5,9983.549,30,2112,Chartiers City,21,84.954,0.132,5,21,4,9983.549788,3683600.39436,,Susan Tymoczko,,,,
89,32,42,003,562600,1,420035626001,Block Group 1,G5030,S,512433,0,+40.4408830,-080.0357065,18778.99128,59,5579501,18776.656,60,2142,West End,87,128.679,0.2,5,81,4,18776.656622,5579501.1068,,Susan Tymoczko,,,,
15,16,42,003,170200,1,420031702001,Block Group 1,G5030,S,406640,81747,+40.4302576,-079.9922422,12037.899456,71,26083320,34676.355,72,2154,South Side Flats,72,601.553,0.936,4,81,7,34676.355098,26083318.9691,,Ashley Holloway,,,,
17,20,42,003,170600,1,420031706001,Block Group 1,G5030,S,326725,0,+40.4249025,-079.9876098,14495.793103,73,19973024,26532.701,74,2156,South Side Slopes,73,460.632,0.716,4,6,7,26532.699712,19973023.112,,Ashley Holloway,,,,
34,74,42,003,290400,3,420032904003,Block Group 3,G5030,S,275844,0,+40.3844190,-079.9867635,11617.587972,91,46641072,40422.973,92,2174,Carrick,16,1075.67,1.673,4,19,5,40422.974323,46641073.9689,,Ashley Holloway,,,,
42,97,42,003,191600,3,420031916003,Block Group 3,G5030,S,170636,0,+40.4126628,-080.0211465,8417.875608,72,40706528,32676.17,73,2155,Beechview,8,938.804,1.46,5,23,5,32676.170008,40706529.2539,,Ashley Holloway,,,,
65,202,42,003,561600,1,420035616001,Block Group 1,G5030,S,294192,0,+40.4168800,-079.9615214,10586.530752,82,3667921.5,10585.539,83,2165,Arlington Heights,5,84.592,0.132,4,113,7,10585.538172,3667921.40983,,Ashley Holloway,,,,
43,102,42,003,191700,1,420031917001,Block Group 1,G5030,S,1471688,0,+40.4043578,-080.0109294,24549.430174,88,58044672,37257.93,89,2171,Brookline,14,1338.669,2.082,4,81,5,37257.930196,58044672.6034,,Ashley Holloway,,,,
47,120,42,003,562400,1,420035624001,Block Group 1,G5030,S,818084,0,+40.4077250,-080.0012233,15887.006504,85,8738354,15889.566,86,2168,Bon Air,12,201.53,0.313,4,57,6,15889.567144,8738354.36946,,Ashley Holloway,,,,
37,83,42,003,141100,1,420031411001,Block Group 1,G5030,S,1226338,163168,+40.4196414,-079.9075532,20791.54447,78,13379806,20826.32,79,2161,Swisshelm Park,82,308.575,0.48,3,57,10,20826.319235,13379806.3379,,Nenha Young,,,,
51,143,42,003,561600,2,420035616002,Block Group 2,G5030,S,863468,0,+40.4138332,-079.9632700,22763.203864,81,13108599,27698.121,82,2164,Arlington,4,302.32,0.47,4,57,7,27698.121196,13108599.1278,,Ashley Holloway,,,,
52,146,42,003,561700,1,420035617001,Block Group 1,G5030,S,807397,0,+40.4088032,-079.9721874,12303.6007,87,8640989,12308.219,88,2170,St. Clair,78,199.285,0.31,4,23,7,12308.218541,8640989.25732,,Ashley Holloway,,,,
53,147,42,003,561700,2,420035617002,Block Group 2,G5030,S,268306,0,+40.4108740,-079.9793742,7452.430225,86,2871538.2,7443.4,87,2169,Mt. Oliver,53,66.226,0.103,4,18,7,7443.40029,2871538.43198,,Ashley Holloway,,,,
74,251,42,003,320400,3,420033204003,Block Group 3,G5030,S,196086,0,+40.3911959,-079.9952543,10313.212351,93,23393388,31957.504,94,2176,Overbrook,60,539.515,0.839,4,24,5,31957.503227,23393386.8576,,Ashley Holloway,,,,
66,203,42,003,140100,3,420031401003,Block Group 3,G5030,S,291302,0,+40.4427301,-079.9435821,8071.734942,54,34078712,30343.65,55,2137,Squirrel Hill North,76,785.948,1.222,3,57,10,30343.651076,34078713.1892,,Nenha Young,,,,
76,292,42,003,130200,2,420031302002,Block Group 2,G5030,S,186305,0,+40.4594767,-079.8955903,5810.236224,32,12103512,16962.012,33,2115,Homewood North,41,279.14,0.434,2,57,11,16962.011645,12103511.7943,,Michael Smith,,,,
20,34,42,003,562900,1,420035629001,Block Group 1,G5030,S,1385581,586785,+40.4096285,-079.9486102,29907.611274,76,44132028,42041.449,77,2159,Hazelwood,39,1017.805,1.583,3,25,9,42041.449983,44132028.3656,,Nenha Young,,,,
69,215,42,003,141000,1,420031410001,Block Group 1,G5030,S,507903,0,+40.4328896,-079.8976172,16004.734351,68,5362860,15999.778,69,2151,Regent Square,66,123.682,0.192,3,19,10,15999.777863,5362859.97196,,Nenha Young,,,,
26,54,42,003,141400,3,420031414003,Block Group 3,G5030,S,294702,0,+40.4266034,-079.9185733,8635.64213,63,74470128,50122.652,64,2146,Squirrel Hill South,77,1717.485,2.671,3,23,10,50122.651097,74470126.2694,,Nenha Young,,,,
50,140,42,003,080700,2,420030807002,Block Group 2,G5030,S,143135,0,+40.4592964,-079.9351049,5199.261124,30,2961361.7,7707.149,31,2113,Friendship,34,68.297,0.106,2,57,12,7707.149974,2961361.71379,,Michael Smith,,,,
91,96,42,003,562300,2,420035623002,Block Group 2,G5030,S,1197940,275741,+40.4050484,-079.9308344,18931.493955,89,12713036,18931.703,90,2172,Glen Hazel,36,293.197,0.456,3,6,9,18931.702384,12713035.8578,,Nenha Young,,,,
38,84,42,003,110200,1,420031102001,Block Group 1,G5030,S,144791,0,+40.4780209,-079.9195862,5475.128062,8,32419862,23264.563,9,2091,Highland Park,40,747.691,1.163,2,94,12,23264.561698,32419862.5289,,Michael Smith,,,,
45,114,42,003,120400,1,420031204001,Block Group 1,G5030,S,176103,0,+40.4633748,-079.9087841,5462.8531,22,12407882,15726.186,23,2105,Larimer,45,286.16,0.445,2,21,12,15726.185821,12407881.2955,,Michael Smith,,,,
80,321,42,003,111500,4,420031115004,Block Group 4,G5030,S,273819,0,+40.4612717,-079.9187769,7027.658693,16,16201454,22746.877,17,2099,East Liberty,29,373.65,0.581,2,25,12,22746.87684,16201453.7079,,Michael Smith,,,,
5,5,42,003,020300,1,420030203001,Block Group 1,G5030,S,1593129,329216,+40.4544996,-079.9812762,24019.532865,27,16947852,23903.078,28,2110,Strip District,80,390.864,0.608,1,23,13,23903.077852,16947852.9683,,Andrea Lavin Kossis,,,,
6,6,42,003,020100,4,420030201004,Block Group 4,G5030,S,281715,0,+40.4406777,-079.9892121,7297.919732,57,17846686,23034.955,58,2140,Central Business District,17,411.593,0.64,1,24,16,23034.954703,17846685.4874,,Andrea Lavin Kossis,,,,
32,72,42,003,060300,1,420030603001,Block Group 1,G5030,S,391220,0,+40.4621267,-079.9609234,10355.074284,19,11984375,15396.965,20,2102,Lower Lawrenceville,48,276.392,0.43,2,19,13,15396.964966,11984374.8838,,Andrea Lavin Kossis,,,,
1,0,42,003,040500,1,420030405001,Block Group 1,G5030,S,268195,0,+40.4406805,-079.9542332,7988.379391,62,7843108,11526.863,63,2145,Central Oakland,20,180.883,0.281,3,113,14,11526.863222,7843108.22191,,Justin Miller,,,SDE,2016-03-08T13:53:49.000Z
2,1,42,003,040400,1,420030404001,Block Group 1,G5030,S,75472,0,+40.4458408,-079.9483932,3813.620989,40,13904629,20941.387,41,2123,North Oakland,56,320.679,0.499,3,25,14,20941.386025,13904629.0582,,Justin Miller,,,SDE,2016-03-08T13:53:49.000Z
3,2,42,003,040200,2,420030402002,Block Group 2,G5030,S,282679,0,+40.4412437,-079.9626107,8260.915502,61,5999801.5,18271.426,62,2144,West Oakland,88,138.372,0.215,3,21,14,18271.426385,5999801.02567,,Justin Miller,,,SDE,2016-03-08T13:53:49.000Z
23,38,42,003,040900,3,420030409003,Block Group 3,G5030,S,253498,0,+40.4308074,-079.9518013,7343.082266,67,14169730,19242.504,68,2150,South Oakland,70,326.793,0.508,3,19,14,19242.503109,14169729.7762,,Justin Miller,,,SDE,2016-03-08T13:53:49.000Z
63,197,42,003,060500,2,420030605002,Block Group 2,G5030,S,255123,0,+40.4586040,-079.9613007,9025.775014,39,7097053,14866.162,40,2122,Polish Hill,65,163.677,0.255,2,6,13,14866.162325,7097053.08855,,Justin Miller,,,SDE,2016-03-08T13:53:49.000Z
68,214,42,003,050900,1,420030509001,Block Group 1,G5030,S,462660,4114,+40.4512373,-079.9745804,14216.964404,46,4997335.5,14192.737,47,2129,Bedford Dwellings,7,115.252,0.179,3,81,15,14192.738225,4997335.34975,,Justin Miller,,,SDE,2016-03-08T13:53:49.000Z
83,338,42,003,050600,3,420030506003,Block Group 3,G5030,S,287852,0,+40.4507230,-079.9591365,9240.995102,43,8722606,11867.512,44,2126,Upper Hill,85,201.167,0.313,3,19,15,11867.512384,8722605.95883,,Justin Miller,,,SDE,2016-03-08T13:53:49.000Z
